gene_symbol	gene_symbol_long	identifier
DXR2	putative 1-deoxy-D-xylulose 5-phosphate reductoisomerase	glyma.Wm82.gnm2.ann1.Glyma.16g089000
DXS1	1-deoxy-D-xylulose 5-phosphate synthase 1	glyma.Wm82.gnm2.ann1.Glyma.07g252600
E1LA	B3 domain-containing protein E1La	glyma.Wm82.gnm2.ann1.Glyma.04g156400
E1LB	B3 domain-containing protein E1Lb	glyma.Wm82.gnm2.ann1.Glyma.04g143300
E9-1	E9 gene 1	glyma.Wm82.gnm2.ann1.Glyma.16g150700
EBP	ERF protein	glyma.Wm82.gnm2.ann1.Glyma.02g016100
EDR1	serine/threonine-protein kinase EDR1	glyma.Wm82.gnm2.ann1.Glyma.10g159200
EDS1	Enhanced disease susceptibility 1	glyma.Wm82.gnm2.ann1.Glyma.06G187300
EDS1a	Enhanced disease susceptibility 1 gene b	glyma.Wm82.gnm1.ann1.Glyma04g34800
EDS1b	Enhanced disease susceptibility 1 gene a	glyma.Wm82.gnm1.ann1.Glyma06g19920
EDS5	MATE efflux family protein 4, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.11g112100
EF1BGAMMA1	elongation factor 1-gamma-like	glyma.Wm82.gnm2.ann1.Glyma.07g273500
EF1BGAMMA2	elongation factor 1-gamma-like	glyma.Wm82.gnm2.ann1.Glyma.12g165500
EF1BGAMMA3	EF1Bgamma class glutathione S-transferase	glyma.Wm82.gnm2.ann1.Glyma.16g001900
EF1BGAMMA4	elongation factor 1-gamma	glyma.Wm82.gnm2.ann1.Glyma.17g001400
EF4	elongation factor 1-alpha	glyma.Wm82.gnm2.ann1.Glyma.05g114900
EIF5A	eukaryotic translation initiation factor 5A	glyma.Wm82.gnm2.ann1.Glyma.02g112400
EIN4	GAF/HisKA/CheY-like REC domain-containing protein	glyma.Wm82.gnm2.ann1.Glyma.10g167300
EKN	EKN protein	glyma.Wm82.gnm2.ann1.Glyma.05g121700
ELF3A	protein EARLY FLOWERING 3a	glyma.Wm82.gnm2.ann1.Glyma.04g050200
ELF3B	protein EARLY FLOWERING 3b	glyma.Wm82.gnm2.ann1.Glyma.14g091900
ELF4A	protein EARLY FLOWERING 4a	glyma.Wm82.gnm2.ann1.Glyma.11g229700
ELF4B	protein EARLY FLOWERING 4b	glyma.Wm82.gnm2.ann1.Glyma.18g027500
ELIP	early light-induced protein	glyma.Wm82.gnm2.ann1.Glyma.20g150600
ELO	Catalytic histone acetyltransferase subunit of the RNA polymerase II elongator complex	glyma.Wm82.gnm1.ann1.Glyma06G18150
EN1	endonuclease	glyma.Wm82.gnm2.ann1.Glyma.15g068600
EN2	endonuclease	glyma.Wm82.gnm2.ann1.Glyma.07g050300
ENOD55-2	early nodulin	glyma.Wm82.gnm2.ann1.Glyma.17g073400
ENOD93	early nodulin-93	glyma.Wm82.gnm2.ann1.Glyma.06g216500
Ep	Seed coat peroxidase gene 1	glyma.Wm82.gnm2.ann1.Glyma.09g022300
ERA1A	farnesyltransferase	glyma.Wm82.gnm2.ann1.Glyma.06g185500
ERA1B	farnesyltransferase ERA1B	glyma.Wm82.gnm2.ann1.Glyma.13g168600
ERD15A	Responsive to Desication 15 gene A	glyma.Wm82.gnm1.ann1.Glyma04g28560
ERD15C	Responsive to Desication 15 gene C	glyma.Wm82.gnm1.ann1.Glyma02g42860
ERD15D	Responsive to Desication 15 gene D	glyma.Wm82.gnm1.ann1.Glyma14g05980
EREB	ethylene responsive protein	glyma.Wm82.gnm2.ann1.Glyma.16g012600
EREBP1	ethylene-responsive element binding protein 1	glyma.Wm82.gnm2.ann1.Glyma.18g252300
ERF1	Ethylene-responsive factor gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G025400
ERF10	Ethylene-responsive factor gene 10	glyma.Wm82.gnm2.ann1.Glyma.02G066200
ERF100	Ethylene-responsive factor gene 100	glyma.Wm82.gnm2.ann1.Glyma.13G122800
ERF101	Ethylene-responsive factor gene 101	glyma.Wm82.gnm2.ann1.Glyma.13G122900
ERF102	Ethylene-responsive factor gene 102	glyma.Wm82.gnm2.ann1.Glyma.13G123000
ERF103	Ethylene-responsive factor gene 103	glyma.Wm82.gnm2.ann1.Glyma.13G123100
ERF105	Ethylene-responsive factor gene 105	glyma.Wm82.gnm2.ann1.Glyma.13G233800
ERF106	Ethylene-responsive factor gene 106	glyma.Wm82.gnm2.ann1.Glyma.13G233900
ERF107	Ethylene-responsive factor gene 107	glyma.Wm82.gnm2.ann1.Glyma.13G236500
ERF108	Ethylene-responsive factor gene 108	glyma.Wm82.gnm2.ann1.Glyma.13G236600
ERF109	Ethylene-responsive factor gene 109	glyma.Wm82.gnm2.ann1.Glyma.13G274100
ERF11	Ethylene-responsive factor gene 11	glyma.Wm82.gnm2.ann1.Glyma.02G067600
ERF110	Ethylene-responsive factor gene 110	glyma.Wm82.gnm2.ann1.Glyma.13G369400
ERF111	Ethylene-responsive factor gene 111	glyma.Wm82.gnm2.ann1.Glyma.14G020100
ERF112	Ethylene-responsive factor gene 112	glyma.Wm82.gnm2.ann1.Glyma.14G050100
ERF113	Ethylene-responsive factor gene 113	glyma.Wm82.gnm2.ann1.Glyma.14G111600
ERF114	Ethylene-responsive factor gene 114	glyma.Wm82.gnm2.ann1.Glyma.14G123900
ERF115	Ethylene-responsive factor gene 115	glyma.Wm82.gnm2.ann1.Glyma.14G147500
ERF116	Ethylene-responsive factor gene 116	glyma.Wm82.gnm2.ann1.Glyma.15G004200
ERF117	Ethylene-responsive factor gene 117	glyma.Wm82.gnm2.ann1.Glyma.15G008600
ERF118	Ethylene-responsive factor gene 118	glyma.Wm82.gnm2.ann1.Glyma.15G077000
ERF119	Ethylene-responsive factor gene 119	glyma.Wm82.gnm2.ann1.Glyma.15G077100
ERF12	Ethylene-responsive factor gene 12	glyma.Wm82.gnm2.ann1.Glyma.02G072800
ERF120	Ethylene-responsive factor gene 120	glyma.Wm82.gnm2.ann1.Glyma.15G079100
ERF121	Ethylene-responsive factor gene 121	glyma.Wm82.gnm2.ann1.Glyma.15G079200
ERF122	Ethylene-responsive factor gene 122	glyma.Wm82.gnm2.ann1.Glyma.15G152000
ERF123	Ethylene-responsive factor gene 123	glyma.Wm82.gnm2.ann1.Glyma.15G159200
ERF124	Ethylene-responsive factor gene 124	glyma.Wm82.gnm2.ann1.Glyma.16G012600
ERF125	Ethylene-responsive factor gene 125	glyma.Wm82.gnm2.ann1.Glyma.16G040000
ERF126	Ethylene-responsive factor gene 126	glyma.Wm82.gnm2.ann1.Glyma.16G046300
ERF127	Ethylene-responsive factor gene 127	glyma.Wm82.gnm2.ann1.Glyma.16G047600
ERF128	Ethylene-responsive factor gene 128	glyma.Wm82.gnm2.ann1.Glyma.16G147500
ERF129	Ethylene-responsive factor gene 129	glyma.Wm82.gnm2.ann1.Glyma.16G148700
ERF13	Ethylene-responsive factor gene 13	glyma.Wm82.gnm2.ann1.Glyma.02G080200
ERF130	Ethylene-responsive factor gene 130	glyma.Wm82.gnm2.ann1.Glyma.16G154100
ERF131	Ethylene-responsive factor gene 131	glyma.Wm82.gnm2.ann1.Glyma.16G164800
ERF132	Ethylene-responsive factor gene 132	glyma.Wm82.gnm2.ann1.Glyma.17G024300
ERF133	Ethylene-responsive factor gene 133	glyma.Wm82.gnm2.ann1.Glyma.17G114500
ERF134	Ethylene-responsive factor gene 134	glyma.Wm82.gnm2.ann1.Glyma.17G124100
ERF135	Ethylene-responsive factor gene 135	glyma.Wm82.gnm2.ann1.Glyma.17G145300
ERF136	Ethylene-responsive factor gene 136	glyma.Wm82.gnm2.ann1.Glyma.17G145400
ERF137	Ethylene-responsive factor gene 137	glyma.Wm82.gnm2.ann1.Glyma.17G210500
ERF138	Ethylene-responsive factor gene 138	glyma.Wm82.gnm2.ann1.Glyma.18G091600
ERF139	Ethylene-responsive factor gene 139	glyma.Wm82.gnm2.ann1.Glyma.18G144700
ERF14	Ethylene-responsive factor gene 14	glyma.Wm82.gnm2.ann1.Glyma.02G132500
ERF140	Ethylene-responsive factor gene 140	glyma.Wm82.gnm2.ann1.Glyma.18G252200
ERF141	Ethylene-responsive factor gene 141	glyma.Wm82.gnm2.ann1.Glyma.18G252300
ERF142	Ethylene-responsive factor gene 142	glyma.Wm82.gnm2.ann1.Glyma.18G281400
ERF143	Ethylene-responsive factor gene 143	glyma.Wm82.gnm2.ann1.Glyma.19G026000
ERF144	Ethylene-responsive factor gene 144	glyma.Wm82.gnm2.ann1.Glyma.19G104200
ERF145	Ethylene-responsive factor gene 145	glyma.Wm82.gnm2.ann1.Glyma.19G113100
ERF146	Ethylene-responsive factor gene 146	glyma.Wm82.gnm2.ann1.Glyma.19G163700
ERF147	Ethylene-responsive factor gene 147	glyma.Wm82.gnm2.ann1.Glyma.19G163900
ERF148	Ethylene-responsive factor gene 148	glyma.Wm82.gnm2.ann1.Glyma.19G164100
ERF149	Ethylene-responsive factor gene 149	glyma.Wm82.gnm2.ann1.Glyma.19G213100
ERF15	Ethylene-responsive factor gene 15	glyma.Wm82.gnm2.ann1.Glyma.02G236800
ERF150	Ethylene-responsive factor gene 150	glyma.Wm82.gnm2.ann1.Glyma.19G253100
ERF151	Ethylene-responsive factor gene 151	glyma.Wm82.gnm2.ann1.Glyma.19G262700
ERF152	Ethylene-responsive factor gene 152	glyma.Wm82.gnm2.ann1.Glyma.20G031000
ERF153	Ethylene-responsive factor gene 153	glyma.Wm82.gnm2.ann1.Glyma.20G070000
ERF154	Ethylene-responsive factor gene 154	glyma.Wm82.gnm2.ann1.Glyma.20G070100
ERF155	Ethylene-responsive factor gene 155	glyma.Wm82.gnm2.ann1.Glyma.20G115300
ERF156	Ethylene-responsive factor gene 156	glyma.Wm82.gnm2.ann1.Glyma.20G168500
ERF157	Ethylene-responsive factor gene 157	glyma.Wm82.gnm2.ann1.Glyma.20G195900
ERF158	Ethylene-responsive factor gene 158	glyma.Wm82.gnm2.ann1.Glyma.20G203500
ERF159	Ethylene-responsive factor gene 159	glyma.Wm82.gnm2.ann1.Glyma.20G203600
ERF16	Ethylene-responsive factor gene 16	glyma.Wm82.gnm2.ann1.Glyma.02G267400
ERF160	Ethylene-responsive factor gene 160	glyma.Wm82.gnm2.ann1.Glyma.20G203700
ERF17	Ethylene-responsive factor gene 17	glyma.Wm82.gnm2.ann1.Glyma.02G294100
ERF18	Ethylene-responsive factor gene 18	glyma.Wm82.gnm2.ann1.Glyma.03G094700
ERF19	Ethylene-responsive factor gene 19	glyma.Wm82.gnm2.ann1.Glyma.03G111700
ERF2	Ethylene-responsive factor gene  2	glyma.Wm82.gnm2.ann1.Glyma.01G081100
ERF20	Ethylene-responsive factor gene 20	glyma.Wm82.gnm2.ann1.Glyma.03G112000
ERF21	Ethylene-responsive factor gene 21	glyma.Wm82.gnm2.ann1.Glyma.03G112400
ERF22	Ethylene-responsive factor gene 22	glyma.Wm82.gnm2.ann1.Glyma.03G112700
ERF23	Ethylene-responsive factor gene 23	glyma.Wm82.gnm2.ann1.Glyma.03G112800
ERF24	Ethylene-responsive factor gene 24	glyma.Wm82.gnm2.ann1.Glyma.03G162500
ERF25	Ethylene-responsive factor gene 25	glyma.Wm82.gnm2.ann1.Glyma.03G162600
ERF26	Ethylene-responsive factor gene 26	glyma.Wm82.gnm2.ann1.Glyma.03G255500
ERF27	Ethylene-responsive factor gene 27	glyma.Wm82.gnm2.ann1.Glyma.03G263700
ERF28	Ethylene-responsive factor gene 28	glyma.Wm82.gnm2.ann1.Glyma.04G062900
ERF29	Ethylene-responsive factor gene 29	glyma.Wm82.gnm2.ann1.Glyma.04G067200
ERF30	Ethylene-responsive factor gene 30	glyma.Wm82.gnm2.ann1.Glyma.04G147500
ERF31	Ethylene-responsive factor gene 31	glyma.Wm82.gnm2.ann1.Glyma.04G151100
ERF32	Ethylene-responsive factor gene 32	glyma.Wm82.gnm2.ann1.Glyma.04G201700
ERF33	Ethylene-responsive factor gene 33	glyma.Wm82.gnm2.ann1.Glyma.04G201900
ERF34	Ethylene-responsive factor gene 34	glyma.Wm82.gnm2.ann1.Glyma.04G217400
ERF35	Ethylene-responsive factor gene 35	glyma.Wm82.gnm2.ann1.Glyma.04G238700
ERF36	Ethylene-responsive factor gene 36	glyma.Wm82.gnm2.ann1.Glyma.05G063500
ERF37	Ethylene-responsive factor gene 37	glyma.Wm82.gnm2.ann1.Glyma.05G063600
ERF38	Ethylene-responsive factor gene 38	glyma.Wm82.gnm2.ann1.Glyma.05G157400
ERF39	Ethylene-responsive factor gene 39	glyma.Wm82.gnm2.ann1.Glyma.05G186700
ERF4	Ethylene-responsive factor gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G206700
ERF40	Ethylene-responsive factor gene 40	glyma.Wm82.gnm2.ann1.Glyma.05G200100
ERF41	Ethylene-responsive factor gene 41	glyma.Wm82.gnm2.ann1.Glyma.05G214400
ERF42	Ethylene-responsive factor gene 42	glyma.Wm82.gnm2.ann1.Glyma.06G064000
ERF43	Ethylene-responsive factor gene 43	glyma.Wm82.gnm2.ann1.Glyma.06G068800
ERF44	Ethylene-responsive factor gene 44	glyma.Wm82.gnm2.ann1.Glyma.06G111300
ERF45	Ethylene-responsive factor gene 45	glyma.Wm82.gnm2.ann1.Glyma.06G125100
ERF46	Ethylene-responsive factor gene 46	glyma.Wm82.gnm2.ann1.Glyma.06G148400
ERF47	Ethylene-responsive factor gene 47	glyma.Wm82.gnm2.ann1.Glyma.06G163700
ERF48	Ethylene-responsive factor gene 48	glyma.Wm82.gnm2.ann1.Glyma.06G221800
ERF49	Ethylene-responsive factor gene 49	glyma.Wm82.gnm2.ann1.Glyma.06G236400
ERF50	Ethylene-responsive factor gene 50	glyma.Wm82.gnm2.ann1.Glyma.06G290000
ERF51	Ethylene-responsive factor gene 51	glyma.Wm82.gnm2.ann1.Glyma.07G031200
ERF52	Ethylene-responsive factor gene 52	glyma.Wm82.gnm2.ann1.Glyma.07G044300
ERF53	Ethylene-responsive factor gene 53	glyma.Wm82.gnm2.ann1.Glyma.07G113800
ERF54	Ethylene-responsive factor gene 54	glyma.Wm82.gnm2.ann1.Glyma.07G114000
ERF55	Ethylene-responsive factor gene 55	glyma.Wm82.gnm2.ann1.Glyma.07G114300
ERF56	Ethylene-responsive factor gene 56	glyma.Wm82.gnm2.ann1.Glyma.07G212400
ERF57	Ethylene-responsive factor gene 57	glyma.Wm82.gnm2.ann1.Glyma.07G250100
ERF58	Ethylene-responsive factor gene 58	glyma.Wm82.gnm2.ann1.Glyma.08G020900
ERF59	Ethylene-responsive factor gene 59	glyma.Wm82.gnm2.ann1.Glyma.08G040900
ERF60	Ethylene-responsive factor gene 60	glyma.Wm82.gnm2.ann1.Glyma.08G145300
ERF61	Ethylene-responsive factor gene 61	glyma.Wm82.gnm2.ann1.Glyma.08G211600
ERF62	Ethylene-responsive factor gene 62	glyma.Wm82.gnm2.ann1.Glyma.08G216600
ERF63	Ethylene-responsive factor gene 63	glyma.Wm82.gnm2.ann1.Glyma.08G257300
ERF64	Ethylene-responsive factor gene 64	glyma.Wm82.gnm2.ann1.Glyma.08G261500
ERF65	Ethylene-responsive factor gene 65	glyma.Wm82.gnm2.ann1.Glyma.08G278800
ERF66	Ethylene-responsive factor gene 66	glyma.Wm82.gnm2.ann1.Glyma.08G281900
ERF67	Ethylene-responsive factor gene 67	glyma.Wm82.gnm2.ann1.Glyma.08G320700
ERF68	Ethylene-responsive factor gene 68	glyma.Wm82.gnm2.ann1.Glyma.09G041500
ERF69	Ethylene-responsive factor gene 69	glyma.Wm82.gnm2.ann1.Glyma.09G052800
ERF70	Ethylene-responsive factor gene 70	glyma.Wm82.gnm2.ann1.Glyma.09G052900
ERF71	Ethylene-responsive factor gene 71	glyma.Wm82.gnm2.ann1.Glyma.09G053000
ERF72	Ethylene-responsive factor gene 72	glyma.Wm82.gnm2.ann1.Glyma.09G242600
ERF73	Ethylene-responsive factor gene 73	glyma.Wm82.gnm2.ann1.Glyma.10G007000
ERF74	Ethylene-responsive factor gene 74	glyma.Wm82.gnm2.ann1.Glyma.10G007100
ERF75	Ethylene-responsive factor gene 75	glyma.Wm82.gnm2.ann1.Glyma.10G016500
ERF76	Ethylene-responsive factor gene 76	glyma.Wm82.gnm2.ann1.Glyma.10G036200
ERF77	Ethylene-responsive factor gene 77	glyma.Wm82.gnm2.ann1.Glyma.10G036300
ERF78	Ethylene-responsive factor gene 78	glyma.Wm82.gnm2.ann1.Glyma.10G036600
ERF79	Ethylene-responsive factor gene 79	glyma.Wm82.gnm2.ann1.Glyma.10G036700
ERF8	Ethylene-responsive factor gene 8	glyma.Wm82.gnm2.ann1.Glyma.02G016100
ERF80	Ethylene-responsive factor gene 80	glyma.Wm82.gnm2.ann1.Glyma.10G061400
ERF81	Ethylene-responsive factor gene 81	glyma.Wm82.gnm2.ann1.Glyma.10G118900
ERF82	Ethylene-responsive factor gene 82	glyma.Wm82.gnm2.ann1.Glyma.10G186800
ERF83	Ethylene-responsive factor gene 83	glyma.Wm82.gnm2.ann1.Glyma.10G186900
ERF84	Ethylene-responsive factor gene 84	glyma.Wm82.gnm2.ann1.Glyma.10G187000
ERF85	Ethylene-responsive factor gene 85	glyma.Wm82.gnm2.ann1.Glyma.10G194200
ERF86	Ethylene-responsive factor gene 86	glyma.Wm82.gnm2.ann1.Glyma.10G223200
ERF87	Ethylene-responsive factor gene 87	glyma.Wm82.gnm2.ann1.Glyma.10G274600
ERF88	Ethylene-responsive factor gene 88	glyma.Wm82.gnm2.ann1.Glyma.11G019000
ERF89	Ethylene-responsive factor gene 89	glyma.Wm82.gnm2.ann1.Glyma.11G036400
ERF9	Ethylene-responsive factor gene 9	glyma.Wm82.gnm2.ann1.Glyma.02G039300
ERF90	Ethylene-responsive factor gene 90	glyma.Wm82.gnm2.ann1.Glyma.11G036500
ERF91	Ethylene-responsive factor gene 91	glyma.Wm82.gnm2.ann1.Glyma.12G117000
ERF92	Ethylene-responsive factor gene 92	glyma.Wm82.gnm2.ann1.Glyma.12G162700
ERF93	Ethylene-responsive factor gene 93	glyma.Wm82.gnm2.ann1.Glyma.12G226600
ERF94	Ethylene-responsive factor gene 94	glyma.Wm82.gnm2.ann1.Glyma.13G040400
ERF95	Ethylene-responsive factor gene 95	glyma.Wm82.gnm2.ann1.Glyma.13G060600
ERF96	Ethylene-responsive factor gene 96	glyma.Wm82.gnm2.ann1.Glyma.13G081600
ERF97	Ethylene-responsive factor gene 97	glyma.Wm82.gnm2.ann1.Glyma.13G122500
ERF98	Ethylene-responsive factor gene 98	glyma.Wm82.gnm2.ann1.Glyma.13G122600
ERF99	Ethylene-responsive factor gene 99	glyma.Wm82.gnm2.ann1.Glyma.13G122700
ERN	ethylene-responsive transcription factor ERN1	glyma.Wm82.gnm2.ann1.Glyma.19g113100
ERS1	Ubiquitous, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma19g40090
ERS2	root preferential, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma03g37470
ESR1	ethylene-responsive transcription factor ESR1	glyma.Wm82.gnm2.ann1.Glyma.02g039300
ETR1	Ubiquitous, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma09g00490
EU3	Ni-binding urease accessory protein UreG	glyma.Wm82.gnm2.ann1.Glyma.08g084800
EU4	urease	glyma.Wm82.gnm2.ann1.Glyma.05g146000
EU5	urease SBU-III	glyma.Wm82.gnm2.ann1.Glyma.08g103000
EXB1	Expansin B1 like protein	glyma.Wm82.gnm2.ann1.Glyma.17G147500
EXLA1	expansin-like A gene 1	glyma.Wm82.gnm1.ann1.Glyma11g10240
EXLA2	expansin-like A gene 2	glyma.Wm82.gnm1.ann1.Glyma12g02550
EXLB1	expansin-like B gene 1	glyma.Wm82.gnm1.ann1.Glyma01g35070
EXLB10	expansin-like B gene 10	glyma.Wm82.gnm1.ann1.Glyma17g15640
EXLB11	expansin-like B gene 11	glyma.Wm82.gnm1.ann1.Glyma17g15670
EXLB12	expansin-like B gene 12	glyma.Wm82.gnm1.ann1.Glyma17g15680
EXLB13	expansin-like B gene 13	glyma.Wm82.gnm1.ann1.Glyma17g15690
EXLB14	expansin-like B gene 14	glyma.Wm82.gnm1.ann1.Glyma17g15710
EXLB15	expansin-like B gene 15	glyma.Wm82.gnm1.ann1.Glyma17g16210
EXLB2	expansin-like B gene 2	glyma.Wm82.gnm1.ann1.Glyma01g41050
EXLB3	expansin-like B gene 3	glyma.Wm82.gnm1.ann1.Glyma01g41330
EXLB4	expansin-like B gene 4	glyma.Wm82.gnm1.ann1.Glyma05g05390
EXLB5	expansin-like B gene 5	glyma.Wm82.gnm1.ann1.Glyma05g05420
EXLB6	expansin-like B gene 6	glyma.Wm82.gnm1.ann1.Glyma05g05430
EXLB7	expansin-like B gene 7	glyma.Wm82.gnm1.ann1.Glyma05g05880
EXLB8	expansin-like B gene 8	glyma.Wm82.gnm1.ann1.Glyma11g04080
EXLB9	expansin-like B gene 9	glyma.Wm82.gnm1.ann1.Glyma11g04370
EXP1	expansin 1	glyma.Wm82.gnm2.ann1.Glyma.17g260400
EXP2	expansin	glyma.Wm82.gnm2.ann1.Glyma.07g132600
EXP4	expansin 4	glyma.Wm82.gnm2.ann1.Glyma.02g109100
EXP5A	expansin-A4-like	glyma.Wm82.gnm2.ann1.Glyma.12g062700
EXPA1	alpha-expansin gene 1	glyma.Wm82.gnm1.ann1.Glyma01g06030
EXPA10	alpha-expansin gene 10	glyma.Wm82.gnm1.ann1.Glyma01g06039
EXPA11	alpha-expansin gene 11	glyma.Wm82.gnm1.ann1.Glyma01g06040
EXPA12	alpha-expansin gene 12	glyma.Wm82.gnm1.ann1.Glyma01g06041
EXPA13	alpha-expansin gene 13	glyma.Wm82.gnm1.ann1.Glyma01g06042
EXPA14	alpha-expansin gene 14	glyma.Wm82.gnm1.ann1.Glyma01g06043
EXPA15	alpha-expansin gene 15	glyma.Wm82.gnm1.ann1.Glyma01g06044
EXPA16	alpha-expansin gene 16	glyma.Wm82.gnm1.ann1.Glyma01g06045
EXPA17	alpha-expansin gene 17	glyma.Wm82.gnm1.ann1.Glyma01g06046
EXPA18	alpha-expansin gene 18	glyma.Wm82.gnm1.ann1.Glyma01g06047
EXPA19	alpha-expansin gene 19	glyma.Wm82.gnm1.ann1.Glyma01g06048
EXPA2	alpha-expansin gene 2	glyma.Wm82.gnm1.ann1.Glyma01g06031
EXPA20	alpha-expansin gene 20	glyma.Wm82.gnm1.ann1.Glyma01g06049
EXPA21	alpha-expansin gene 21	glyma.Wm82.gnm1.ann1.Glyma01g06050
EXPA22	alpha-expansin gene 22	glyma.Wm82.gnm1.ann1.Glyma01g06051
EXPA23	alpha-expansin gene 23	glyma.Wm82.gnm1.ann1.Glyma01g06052
EXPA24	alpha-expansin gene 24	glyma.Wm82.gnm1.ann1.Glyma01g06053
EXPA25	alpha-expansin gene 25	glyma.Wm82.gnm1.ann1.Glyma01g06054
EXPA26	alpha-expansin gene 26	glyma.Wm82.gnm1.ann1.Glyma01g06055
EXPA27	alpha-expansin gene 27	glyma.Wm82.gnm1.ann1.Glyma01g06056
EXPA28	alpha-expansin gene 28	glyma.Wm82.gnm1.ann1.Glyma01g06057
EXPA29	alpha-expansin gene 29	glyma.Wm82.gnm1.ann1.Glyma01g06058
EXPA3	alpha-expansin gene 3	glyma.Wm82.gnm1.ann1.Glyma01g06032
EXPA30	alpha-expansin gene 30	glyma.Wm82.gnm1.ann1.Glyma01g06059
EXPA31	alpha-expansin gene 31	glyma.Wm82.gnm1.ann1.Glyma01g06060
EXPA32	alpha-expansin gene 32	glyma.Wm82.gnm1.ann1.Glyma01g06061
EXPA33	alpha-expansin gene 33	glyma.Wm82.gnm1.ann1.Glyma01g06062
EXPA34	alpha-expansin gene 34	glyma.Wm82.gnm1.ann1.Glyma01g06063
EXPA35	alpha-expansin gene 35	glyma.Wm82.gnm1.ann1.Glyma01g06064
EXPA36	alpha-expansin gene 36	glyma.Wm82.gnm1.ann1.Glyma01g06065
EXPA37	alpha-expansin gene 37	glyma.Wm82.gnm1.ann1.Glyma01g06066
EXPA38	alpha-expansin gene 38	glyma.Wm82.gnm1.ann1.Glyma01g06067
EXPA39	alpha-expansin gene 39	glyma.Wm82.gnm1.ann1.Glyma01g06068
EXPA4	alpha-expansin gene 4	glyma.Wm82.gnm1.ann1.Glyma01g06033
EXPA40	alpha-expansin gene 40	glyma.Wm82.gnm1.ann1.Glyma01g06069
EXPA41	alpha-expansin gene 41	glyma.Wm82.gnm1.ann1.Glyma01g06070
EXPA42	alpha-expansin gene 42	glyma.Wm82.gnm1.ann1.Glyma01g06071
EXPA43	alpha-expansin gene 43	glyma.Wm82.gnm1.ann1.Glyma01g06072
EXPA44	alpha-expansin gene 44	glyma.Wm82.gnm1.ann1.Glyma01g06073
EXPA45	alpha-expansin gene 45	glyma.Wm82.gnm1.ann1.Glyma01g06074
EXPA46	alpha-expansin gene 46	glyma.Wm82.gnm1.ann1.Glyma01g06075
EXPA47	alpha-expansin gene 47	glyma.Wm82.gnm1.ann1.Glyma01g06076
EXPA48	alpha-expansin gene 48	glyma.Wm82.gnm1.ann1.Glyma01g06077
EXPA49	alpha-expansin gene 49	glyma.Wm82.gnm1.ann1.Glyma01g06078
EXPA5	alpha-expansin gene 5	glyma.Wm82.gnm1.ann1.Glyma01g06034
EXPA5C	expansin A5c	glyma.Wm82.gnm2.ann1.Glyma.11g139100
EXPA6	alpha-expansin gene 6	glyma.Wm82.gnm1.ann1.Glyma01g06035
EXPA7	alpha-expansin gene 7	glyma.Wm82.gnm1.ann1.Glyma01g06036
EXPA8	alpha-expansin gene 8	glyma.Wm82.gnm1.ann1.Glyma01g06037
EXPA9	alpha-expansin gene 9	glyma.Wm82.gnm1.ann1.Glyma01g06038
EXPB1	beta-expansin gene 1	glyma.Wm82.gnm1.ann1.Glyma01g16140
F-box protein2	F-box protein 2	glyma.Wm82.gnm2.ann1.Glyma.02G273700
F3'5'H	flavonoid 3', 5'-hydroxylase	glyma.Wm82.gnm2.ann1.Glyma.13g072100
F3G2Gt 1	anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.06g285700
F3G2Gt-a	flavonol 3-O-glycoside (1-2) glucosyltransferase	glyma.Wm82.gnm2.ann1.Glyma.06g285700
F3G2Gt-b	flavonol 3-O-glycoside (1-2) glucosyltransferase	glyma.Wm82.gnm2.ann1.Glyma.06g285700
F3G6''Gt	anthocyanidin 3-O-glucosyltransferase-like	glyma.Wm82.gnm2.ann1.Glyma.20g196000
F3G6''Rt	flavonol 3-O-glucoside (1->6) rhamnosyltransferase	glyma.Wm82.gnm2.ann1.Glyma.10g194000
F3H	flavanone 3-hydroxylase	glyma.Wm82.gnm2.ann1.Glyma.02g048400
F6'H1	feruloyl CoA ortho-hydroxylase 1	glyma.Wm82.gnm2.ann1.Glyma.18g111000
F6H1	flavonoid 6-hydroxylase	glyma.Wm82.gnm2.ann1.Glyma.18g080400
F6H2	flavonoid 6-hydroxylase	glyma.Wm82.gnm2.ann1.Glyma.18g080200
F6H3	flavonoid 6-hydroxylase	glyma.Wm82.gnm2.ann1.Glyma.08g326900
FAB2		glyma.Wm82.gnm2.ann1.Glyma.02g138100
FabD	malonyl-CoA:ACP malonyltransferase	glyma.Wm82.gnm2.ann1.Glyma.11g164500
FabF	3-ketoacyl-ACP-synthase II	glyma.Wm82.gnm2.ann1.Glyma.13g112700
FabG	3-ketoacyl-ACP reductase	glyma.Wm82.gnm2.ann1.Glyma.08g102100
FabZ	3-hydroxyacyl-ACP dehydrase	glyma.Wm82.gnm2.ann1.Glyma.15g052500
FAD2-1A	omega-6 fatty acid desaturase, endoplasmic reticulum isozyme 1	glyma.Wm82.gnm2.ann1.Glyma.10g278000
